term,frequency
pale,2
face mask,2
flat chested,2
thong,2
zpdxl,2
bad prompt version2 neg,2
distorted faces,2
accessories,2
deviantart,2
source filmmaker,2
sfm,2
threeheads,2
overlapping bodies,2
bad limbs,2
featureless,2
bad features,2
incorrect objects,2
fuzzy eyes,2
fuzzy iris,2
imperfect hands,2
squinting eyes,2
2 girls,2
more than 2 legs,2
mismatched legs,2
torso too long,2
bad torso,2
lesbians,2
lifeless,2
vr goggles,2
merged hands,2
odd hands,2
too many digits,2
6 digits,2
4 digits,2
deformed:1.5,2
boys,2
extra navel,2
2girl,2
incorrect,2
horrible,2
distorted body,2
bad angle,2
wide lips,2
cropped image,2
blurred composition,2
cinnadust,2
ugly breasts,2
deformities:1.3 ugly hands,2
ugly anatomy,2
ugly body,2
ugly arms,2
ugly legs,2
deformities:1.3 ugly fingers,2
cross,2
symbols,2
split finger,2
split fingers,2
anime ears,2
color swap,2
wrong color,2
hyper breasts,2
deformed nails,2
deformed penis,2
autofellatio,2
copy,2
glitched,2
disembodied hand,2
rule 63,2
genderswap,2
brush strokes,2
watercolor painting,2
face swap,2
swap face,2
mutated hands and fingers:1.5,2
contrast,2
smeared,2
rating safe,2
black pantyhose,2
disharmony,2
lack of system and organization,2
displaced limbs,2
blurry or sloppy or broken or deformed or crooked or slanting limbs and hands and fingers and eyes,2
"""dead"" pixels",2
too simple poses and views or angle of views,2
too simple composition,2
too simple background,2
lack of detailing and filigree,2
lack of creativity and improvisation,2
self disbelief,2
lack of self initiative,2
limitation,2
banality,2
superficiality,2
boredom,2
self evident,2
self explanatory,2
unextraordinary,2
nonparadoxical,2
non surreal,2
stylistic monotony,2
non angular view,2
comparability of scales,2
gravity and laws of physics,2
laws of nature,2
nonadaptive,2
unforgiving,2
powerlessness,2
indifference,2
too non photorealistic and non hyperrealistic,2
endomorph body,2
mesomorph body,2
inharmonious body,2
fuzzy or blurry image,2
grotesque eyes,2
people on background,2
logo:1.2,2
earring,2
four legs,2
big earring,2
hoop earring,2
hat:1.3,2
less than five fingers,2
instagram,2
elf ears on pink,2
watermark. worst quality,2
creating a warm,2
white dress,2
single braid,2
thick eyebrows,2
braided ponytail,2
underbust,2
head wreath,2
leaf hair ornament,2
dark elf,2
elezen,2
ears,2
fewer digits:1.2,2
monotone,2
malformed hand,2
half head,2
chopped head,2
discolored labia,2
worst quality eyes,2
polar lowres,2
fuse,2
tag,2
questionable,2
missing legs and wheels. plastic mask. wings. incomplete wheels and arms. pipes or hoses going from robot to building. odd number of legs. telephone poles and wire. automobiles.,2
doujin cover,2
modest,2
photoshopped,2
hair:1.2,2
furry:1.2,2
epicphoto neg,2
juggernautnegative neg,2
bad foot,2
fusied bodies,2
overly saturated,2
overly vivid,2
less details,2
cencored,2
user,2
waterprints,2
2.5d,2
backless,2
buttons,2
low quality:1.6,2
thighhighs,2
3girls,2
bowtie,2
suspenders,2
buckle,2
leather,2
debris,2
cover image,2
derpibooru p low,2
bad breasts,2
artist logo:1.4,2
disfigured eyes,2
implants,2
deformed faces,2
blurry faces,2
conjoined twins,2
crayons,2
bad animal legs,2
deformed character,2
incomplete face,2
combined characters,2
characters wearing the wrong clothes,2
incomplete fingers,2
merging characters,2
lowers normal quality,2
both characters not in frame,2
white pupils,2
bright pupils,2
labia,2
3d character,2
stable yogis pdxl negatives,2
source comic,2
daytime,2
no trees,2
dull atmosphere,2
no rain,2
multiple characters,2
oversaturated colors,2
pg 13,2
night:1.9,2
dark blue sky:1.9,2
dark background:1.9,2
cascading down her back in loose waves,2
clad in sheer,2
violets,2
wavy hair,2
blue theme,2
black skin,2
glowing hair,2
turtleneck,2
dick,2
pink eyes,2
snow,2
purple fur,2
realstic,2
sample watermark,2
artist logo,2
muscular woman,2
no background,2
very big eyes,2
watermark:1.0,2
drab,2
outline,2
abnormal amount of fingers,2
big ass,2
piercings,2
artist name scan dust,2
space,2
windowsill,2
smartphone,2
mobile,2
phone,2
unaestheticxlv13,2
gaussian,2
multiple girls:1.3,2
pregnant belly bump:1.5,2
unstable contrast,2
protruding ribs,2
outer frame,2
the wrong limb,2
embeddings:easynegative,2
object,2
standing on one leg,2
frilled dress,2
red theme,2
plastic doll,2
unnatural lighting,2
weapons,2
clipping,2
eldritch abomination,2
fairy wings,2
red beauty spots,2
*i* *don't* *use* *negative* *prompts*,2
american flag,2
circlet,2
no detail,2
extra foot,2
disconnected,2
wolf,2
cutie mark,2
girly,2
cyberrealistic negative neg,2
grayscale:1.2,2
a breathtaking,2
creating a soft,2
sash,2
bare tree,2
distorted proportions,2
no contact,2
excess fingers,2
ear flaps,2
stomach bulge,2
multiple legs,2
bad anatomy:1.1,2
kemonomimi,2
bucktooth,2
ghostly,2
detached,2
tiny penis,2
white border,2
ugly quality,2
speaking,2
minimal detail,2
unrealistic textures,2
extra thighs,2
fused anus,2
poorly drawn crotch,2
poorly drawn anus,2
bar code,2
shit,2
over four fingers\finger\:2,2
bad anatomy\fingers\:1.2,2
low quality lowres multiple breasts,2
low quality lowres mutated hands and fingers,2
low quality lowres long body,2
low quality lowres mutation poorly drawn,2
low quality lowres black white,2
low quality lowres bad anatomy,2
low quality lowres liquid body,2
low quality lowres liquid tongue,2
low quality lowres disfigured,2
low quality lowres malformed,2
low quality lowres mutated,2
low quality lowres anatomical nonsense,2
low quality lowres text font ui,2
low quality lowres error,2
low quality lowres malformed hands,2
low quality lowres long neck,2
low quality lowres blurred,2
low quality lowres lowers,2
low quality lowres low res,2
low quality lowres bad proportions,2
low quality lowres bad shadow,2
low quality lowres uncoordinated body,2
low quality lowres unnatural body,2
low quality lowres fused breasts,2
low quality lowres bad breasts,2
low quality lowres huge breasts,2
low quality lowres poorly drawn breasts,2
low quality lowres extra breasts,2
low quality lowres liquid breasts,2
low quality lowres heavy breasts,2
low quality lowres missing breasts,2
low quality lowres huge haunch,2
low quality lowres huge thighs,2
low quality lowres huge calf,2
low quality lowres bad hands,2
low quality lowres fused hand,2
low quality lowres missing hand,2
low quality lowres disappearing arms,2
low quality lowres disappearing thigh,2
low quality lowres disappearing calf,2
low quality lowres disappearing legs,2
low quality lowres fused ears,2
low quality lowres bad ears,2
low quality lowres poorly drawn ears,2
low quality lowres extra ears,2
low quality lowres liquid ears,2
low quality lowres heavy ears,2
low quality lowres missing ears,2
low quality lowres fused animal ears,2
low quality lowres bad animal ears,2
low quality lowres poorly drawn animal ears,2
low quality lowres extra animal ears,2
low quality lowres liquid animal ears,2
low quality lowres heavy animal ears,2
low quality lowres missing animal ears,2
low quality lowres text,2
low quality lowres ui,2
low quality lowres missing limb,2
low quality lowres fused fingers,2
low quality lowres one hand with more than 5 fingers,2
low quality lowres one hand with less than 5 fingers,2
low quality lowres one hand with more than 5 digit,2
low quality lowres one hand with less than 5 digit,2
low quality lowres fewer digits,2
low quality lowres fused digit,2
low quality lowres missing digit,2
low quality lowres bad digit,2
low quality lowres liquid digit,2
low quality lowres colorful tongue,2
low quality lowres black tongue,2
low quality lowres cropped,2
low quality lowres watermark,2
low quality lowres username,2
low quality lowres blurry,2
low quality lowres jpeg artifacts,2
low quality lowres signature,2
low quality lowres 3d,2
low quality lowres 3d game,2
low quality lowres 3d game scene,2
low quality lowres 3d character,2
low quality lowres malformed feet,2
low quality lowres extra feet,2
low quality lowres bad feet,2
low quality lowres poorly drawn feet,2
low quality lowres fused feet,2
low quality lowres missing feet,2
low quality lowres extra shoes,2
low quality lowres bad shoes,2
low quality lowres fused shoes,2
low quality lowres more than two shoes,2
low quality lowres poorly drawn shoes,2
low quality lowres bad gloves,2
low quality lowres poorly drawn gloves,2
low quality lowres fused gloves,2
low quality lowres bad cum,2
low quality lowres poorly drawn cum,2
low quality lowres fused cum,2
low quality lowres bad hairs,2
low quality lowres poorly drawn hairs,2
low quality lowres fused hairs,2
low quality lowres big muscles,2
low quality lowres ugly,2
low quality lowres bad face,2
low quality lowres fused face,2
low quality lowres poorly drawn face,2
low quality lowres cloned face,2
low quality lowres big face,2
low quality lowres long face,2
low quality lowres bad eyes,2
low quality lowres fused eyes poorly drawn eyes,2
low quality lowres extra eyes,2
low quality lowres malformed limbs,2
low quality lowres more than 2 nipples,2
low quality lowres missing nipples,2
low quality lowres different nipples,2
low quality lowres fused nipples,2
low quality lowres bad nipples,2
low quality lowres poorly drawn nipples,2
low quality lowres black nipples,2
low quality lowres colorful nipples,2
low quality lowres gross proportions,2
short arm,2
low quality lowres missing arms,2
low quality lowres missing thighs,2
low quality lowres missing calf,2
low quality lowres missing legs,2
low quality lowres mutation,2
low quality lowres duplicate,2
low quality lowres morbid,2
low quality lowres mutilated,2
low quality lowres poorly drawn hands,2
low quality lowres more than 1 left hand,2
low quality lowres more than 1 right hand,2
low quality lowres deformed,2
low quality lowres extra arms,2
low quality lowres extra thighs,2
low quality lowres more than 2 thighs,2
low quality lowres extra calf,2
low quality lowres fused calf,2
low quality lowres extra legs,2
low quality lowres bad knee,2
low quality lowres extra knee,2
low quality lowres more than 2 legs,2
low quality lowres bad tails,2
low quality lowres bad mouth,2
low quality lowres fused mouth,2
low quality lowres poorly drawn mouth,2
low quality lowres bad tongue,2
low quality lowres tongue within mouth,2
low quality lowres too long tongue,2
low quality lowres big mouth,2
low quality lowres cracked mouth,2
low quality lowres dirty face,2
low quality lowres dirty teeth,2
low quality lowres dirty pantie,2
low quality lowres fused pantie,2
low quality lowres poorly drawn pantie,2
low quality lowres fused cloth,2
low quality lowres poorly drawn cloth,2
low quality lowres bad pantie,2
low quality lowres yellow teeth,2
low quality lowres thick lips,2
low quality lowres bad asshole,2
low quality lowres poorly drawn asshole,2
low quality lowres fused asshole,2
low quality lowres missing asshole,2
low quality lowres bad anus,2
low quality lowres bad pussy,2
low quality lowres bad crotch,2
low quality lowres bad crotch seam,2
low quality lowres fused anus,2
low quality lowres fused pussy,2
low quality lowres fused crotch,2
low quality lowres poorly drawn crotch,2
low quality lowres fused seam,2
low quality lowres poorly drawn anus,2
low quality lowres poorly drawn pussy,2
low quality lowres poorly drawn crotch seam,2
low quality lowres bad thigh gap,2
low quality lowres missing thigh gap,2
low quality lowres fused thigh gap,2
low quality lowres liquid thigh gap,2
low quality lowres poorly drawn thigh gap,2
low quality lowres bad collarbone,2
low quality lowres fused collarbone,2
low quality lowres missing collarbone,2
low quality lowres liquid collarbone,2
low quality lowres strong girl,2
low quality lowres obesity,2
low quality lowres worst quality,2
low quality lowres low quality,2
low quality lowres normal quality,2
low quality lowres liquid tentacles,2
low quality lowres bad tentacles,2
low quality lowres poorly drawn tentacles,2
low quality lowres split tentacles,2
low quality lowres fused tentacles,2
low quality lowres missing clit,2
low quality lowres bad clit,2
low quality lowres fused clit,2
low quality lowres colorful clit,2
low quality lowres black clit,2
low quality lowres liquid clit,2
low quality lowres qr code,2
low quality lowres bar code,2
low quality lowres censored,2
low quality lowres safety panties,2
low quality lowres safety knickers,2
low quality lowres beard,2
low quality lowres furry,2
low quality lowres pubic hair,2
low quality lowres mosaic,2
low quality lowres excrement,2
low quality lowres shit,2
low quality lowres futa,2
low quality lowres testis,2
low quality lowres lowres,2
low quality lowres terrible,2
low quality lowres dirty,2
low quality lowres feces,2
low quality lowres organs,2
low quality lowres fat,2
low quality lowres thick thighs,2
low quality lowres low resolution rough,2
low quality lowres pedophile,2
low quality lowres bestiality,2
low quality lowres parody,2
low quality lowres traditional media,2
low quality lowres koma,2
low quality lowres comic,2
low quality lowres scary,2
low quality lowres severe,2
low quality lowres insects,2
low quality lowres gross scars,2
low quality lowres twisted human body,2
low quality lowres irrational human body,2
low quality lowres sharp fingers,2
low quality lowres parts of the body out of common sense,2
low quality lowres murder,2
low quality lowres beheading,2
low quality lowres zombie,2
low quality lowres mummy,2
low quality lowres graffiti,2
low quality lowres unfinished picture,2
low quality lowres terrible quality,2
low quality lowres coprophilia,2
low quality lowres muscular,2
low quality lowres bald,2
low quality lowres monk,2
low quality lowres wrinkly,2
low quality lowres simple background,2
low quality lowres realistic,2
low quality lowres old,2
low quality lowres scan,2
low quality lowres touhou,2
low quality lowres yaoi,2
low quality lowres gay,2
low quality lowres femboy,2
low quality lowres trap,2
low quality lowres pee,2
low quality lowres doujinshi,2
low quality lowres monochrome,2
low quality lowres meme,2
low quality lowres demon,2
low quality lowres monstrous creature,2
low quality lowres tentacle,2
low quality lowres self harm,2
low quality lowres vomit,2
low quality lowres suicide,2
low quality lowres death,2
low quality lowres corpse,2
low quality lowres bone,2
low quality lowres skeleton,2
low quality lowres fingers over 6,2
low quality lowres framed,2
low quality lowres historical picture,2
low quality lowres futanari,2
low quality lowres shemale,2
low quality lowres dick girl,2
low quality lowres flat breasts,2
low quality lowres degenerate ass,2
low quality lowres retro artstyle,2
low quality lowres anime screencap,2
low quality lowres stitched,2
low quality lowres pokemon,2
low quality lowres ryona,2
low quality lowres animal,2
low quality lowres male focus,2
low quality lowres nipple penetration,2
low quality lowres sonic series,2
low quality lowres bondage,2
low quality lowres bdsm,2
low quality lowres 2d,2
low quality lowres 2d game,2
low quality lowres 2d game scene,2
low quality lowres 2d character,2
low quality lowres game cg,2
low quality lowres watercolor medium,2
low quality lowres 2koma,2
low quality lowres interlocked fingers,2
low quality lowres gloves,2
low quality lowres nitroplus,2
low quality lowres sketch,2
low quality lowres line drawing,2
low quality lowres gorilla,2
low quality lowres meat,2
low quality lowres gundam,2
low quality lowres multiple views,2
low quality lowres cut,2
low quality lowres concept art,2
low quality lowres reference sheet,2
low quality lowres turnaround,2
low quality lowres chart,2
low quality lowres comparison,2
low quality lowres artist progress,2
low quality lowres lineup,2
low quality lowres before and after,2
low quality lowres orc,2
low quality lowres tusks,2
low quality lowres goblin,2
low quality lowres kobold,2
low quality lowres pony,2
low quality lowres nsfw,2
low quality lowres humpbacked,2
low quality lowres text error,2
low quality lowres extra digits,2
low quality lowres standard quality,2
low quality lowres large breasts,2
low quality lowres shadow,2
low quality lowres nude,2
low quality lowres artist name,2
low quality lowres skeleton girl,2
low quality lowres bad legs,2
low quality lowres artifacts,2
low quality lowres bad body,2
low quality lowres optical illusion,2
low quality lowres glasses,2
low quality lowres girl,2
low quality lowres women,2
low quality lowres more than 1 moon,2
low quality lowres multi foot,2
low quality lowres multifold,2
low quality lowres multi fingering,2
low quality lowres colored sclera,2
low quality lowres monster girl,2
low quality lowres black hands,2
low quality lowres the background is incoherent,2
low quality lowres abnormal eye proportion,2
low quality lowres abnormal hands,2
low quality lowres abnormal legs,2
low quality lowres abnormal feet abnormal fingers,2
low quality lowres sharp face,2
low quality lowres tranny,2
low quality lowres mutated hands,2
low quality lowres extra limbs,2
low quality lowres too many fingers,2
low quality lowres unclear eyes,2
low quality lowres bad,2
low quality lowres mutated hand and finger,2
low quality lowres malformed mutated,2
low quality lowres incorrect limb,2
low quality lowres fusion finger,2
low quality lowres lose finger,2
low quality lowres multiple finger,2
low quality lowres multiple digit,2
low quality lowres fusion hand,2
low quality lowres lose leg,2
low quality lowres fused leg,2
low quality lowres multiple leg,2
low quality lowres bad cameltoe,2
low quality lowres colorful cameltoe,2
twisted fingers,2
cigarette,2
beach,2
dog,2
light rays,2
wide shot,2
twilight,2
evening,2
faux traditional media,2
fused,2
sweater,2
bob cut,2
easy negative,2
mixed character,2
uniform hairstyle,2
uniform body types,2
vibrant,2
body,2
stickers,2
sticker,2
cats,2
pets,2
apple background,2
terrible quality,2
artist error,2
unaestheticxl ayv1,2
light,2
embedding:ng deepnegative v1 75t,2
<lora:badhands:1>nsfw,2
bad image v2 39000,2
puffy sleeves,2
irregular mutated hands,2
deformity,2
female tongue,2
female tongue out,2
neck grab,2
lack of depth,2
pencil sketch,2
smoke,2
fcneg neg,2
blues,2
collarbone,2
short shorts,2
toes,2
light smile,2
toenails,2
mountain,2
blurry details,2
simplistic background,2
exaggerated features,2
apple,2
fur trim,2
clothes writing,2
zipper,2
beyondsdxlv3,2
cartoons,2
glowing butterfly,2
embedding:smooth negative neg:1,2
it's not a boxing match,2
wide sleeves,2
unsightly,2
detestable,2
awkward pose,2
washed out colors,2
framework,2
no eyes,2
incorrect proportions,2
small eyes,1
small nose,1
narrow hips,1
narrow waist,1
thin,1
athletic,1
tired eyes,1
sex with monster,1
perfect body,1
tan marks,1
stockings,1
orgasm and pain on face,1
scream,1
eye roll,1
spit,1
big veiny cock,1
full nelson,1
in this captivating piece of art,1
we see a trio of black cats with striking blue eyes,1
each with its own unique expression and posture. the cat on the left is perched confidently atop an open book,1
its gaze fixed directly on the viewer with an air of curiosity. the middle cat is comfortably nestled within the confines of a cup of coffee,1
peeking out from behind the steaming beverage,1
as if it's contemplating a quiet afternoon read. the third cat,1
on the right,1
is partially hidden behind the desk,1
its attention drawn to something off screen. the cats are arranged diagonally across the image,1
creating a sense of depth and perspective. the background reveals an office setting,1
complete with a bookshelf filled with various volumes and a desk with a computer monitor. a window with sunlight streaming in adds warmth to the scene. the color palette is dominated by shades of blue,1
and brown,1
evoking a cozy and intellectual atmosphere. the lighting suggests it's late afternoon or early evening,1
with soft light filling the room and casting gentle shadows around. the art style leans towards realism with a dash of whimsy,1
thanks to the anthropomorphic nature of the cats and the playful yet homely setting. the attention to detail in the cats' fur,1
the reflections on the computer monitor,1
and the texture of the bookshelf add to the overall charm and appeal of this image.,1
looking at another,1
wooden floor,1
paper,1
on head,1
computer,1
animal on head,1
monitor,1
grey fur,1
cat on head,1
bird face,1
animal features,1
beak,1
underwear,1
female genitalia,1
teared clothes,1
broken clothes,1
lips lipstick,1
png transparency,1
tatoo,1
deformation,1
pens,1
brushes,1
paper edge,1
mutated fingers:1.21,1
overlay,1
embedding:zpdxl neg,1
dual persona,1
name artist,1
amateur art,1
anime girl,1
mountains,1
lofterusername,1
monochrome:0.45,1
badanatomy,1
lean,1
fashion photos collage:1.25,1
uninspired,1
extra digi,1
tights,1
succubushorn,1
outdated,1
poor resolution,1
medium quality:1.4,1
black cat:1.5,1
in the heart of a mystical forest,1
a black cat with eyes glowing like twin stars stands majestically in the center of the frame. the cat's fur is sleek and its body coiled like a spring ready to unleash energy. a trail of fiery sparks dances around it,1
creating an atmosphere of intense magic and untamed power. the background is a dark,1
smoky expanse that serves as a canvas for the ethereal flame effects that swirl behind the cat. the flames appear to be alive,1
flickering in hues of orange and red. they seem to be reacting to the cat's presence,1
creating a dynamic and dramatic scene. the cat's position is central and commanding,1
with the flames encircling it from all sides. this gives the impression that the cat is the focal point of this magical tableau. the surrounding darkness enhances the fiery spectacle,1
casting long shadows and highlighting the radiant sparks. the color palette is dominated by cool tones—the black of the cat,1
the deep greens of the forest,1
and the smoky grays of the background. however,1
the warm orange and red of the flames add a stark contrast,1
drawing the eye and creating visual tension. overall,1
this image captures a moment of intense magic and power,1
with the black cat as its central figure. the fiery sparks that surround it are both mesmerizing and intimidating,1
suggesting a creature of great strength and enchantment.,1
straight on,1
sweaty,1
fish:4,1
randoseru,1
nsfw score 4,1
score 6rain,1
male face,1
poiny nipples,1
merged nipple,1
small irises,1
cosntricted pupils,1
small areolae,1
3d \artwork\,1
3rd party watermark,1
alternate form,1
anatomically incorrect,1
bad compression,1
bad cropping,1
bad edit,1
bad leg,1
bad metadata,1
bad neck,1
bad parenting,1
bad trigger discipline,1
badly compressed,1
blur censor,1
broken anatomy,1
color banding,1
color edit,1
color issues,1
compressed,1
derivative work,1
distracting watermark,1
edit,1
edited,1
edited screencap,1
gif,1
gif artifacts,1
hair censor,1
has bad revision,1
has censored revision,1
sunny day,1
bike shorts,1
wristband,1
pocket,1
blue footwear,1
pouch,1
jumping,1
shoulder bag,1
red hairband,1
shorts under skirt,1
green theme,1
green shorts,1
bike shorts under skirt,1
black bag,1
fanny pack,1
climbing,1
green bag,1
bad text,1
bright lighting,1
distorted features,1
muted colors signature,1
no textures,1
unrealisticdream:0.6,1
hazy,1
anatomical errors,1
poorly rendered,1
incorrect perspective,1
glitchy,1
gaping anus,1
front view,1
bestiality,1
smoothnoob negative​​​,1
smoothnegative hands,1
waist,1
minor content,1
sauce pny,1
real animal,1
jewellery,1
watches:1.36,1
normal quality:2.0,1
wordmark,1
trees,1
qlt,1
lkb,1
tdj,1
vml,1
rbi,1
hsn,1
bol,1
ilr,1
mdf,1
partial nudity,1
pelvic curtain,1
breasts out,1
no bra,1
no panties,1
pokemon creature,1
clock,1
figurative,1
concrete,1
lolli,1
badponyhd,1
blended limbs,1
three legs,1
three breasts,1
airplane,1
aircraft,1
fighter jet,1
lying,1
tentacles,1
skin:1.5,1
tongue:2,1
police uniform,1
collapsed,1
torch,1
elongated fingers,1
god rays,1
sunshine,1
rendering,1
3d modeling,1
basic and plain,1
lack of texture,1
minimal setup,1
flat shading 3d,1
amateur work,1
sci fi,1
futuristic,1
miyabi's origin costume,1
miyabi costume,1
miyabi wear,1
wide eyebrows,1
short eyebrows,1
pubic hair. stocking,1
wide eye spacing,1
garterbelt,1
ribon,1
facial freckels:1.55,1
in a captivating and richly detailed illustration,1
we see a character in a luxurious setting that exudes a sultry and alluring atmosphere. the character is positioned on a striking red velvet bench,1
which contrasts beautifully with the surrounding elements. they are adorned in an elaborate ensemble of shimmering black latex attire,1
punctuated by intricate gold accents and a pair of fiery red cat ears that add an element of mystique to their appearance. the character's skin is pale,1
almost ethereal,1
and their hair cascades down in glossy strands of deep red,1
mirroring the cat ears they wear. their eyes are hidden behind a pair of captivating black sunglasses,1
adding an air of enigma to their persona. the background features a vibrant array of elements that contribute to the overall ambiance of the scene. a large japanese lantern casts a warm and inviting glow,1
and a traditional japanese paper lantern adds a cultural touch. a delicate cherry blossom tree stands tall in the background,1
its branches reaching out towards the sky,1
while a red string of lights twinkles softly in the distance,1
providing a soft,1
ambient light that subtly highlights the character's features and the rich colors of the setting. the art style is highly detailed,1
with meticulous attention given to textures,1
and lighting effects. the image is bathed in a color palette dominated by shades of red,1
and gold,1
which further enhances the luxurious and seductive mood of the piece. this captivating image combines elements of japanese culture with an overarching theme of allure and sensuality,1
creating a visually stunning composition that is both aesthetically pleasing and rich in detail.,1
hairclip,1
fox tail,1
short dress,1
tan,1
china dress,1
skin tight,1
red nails,1
gold trim,1
dog tail,1
leash,1
whip,1
red collar,1
holding leash,1
holding whip,1
holding own tail,1
tied headband,1
holding basket,1
cobblestone,1
platform,1
crease,1
overweight,1
long legs:1.1,1
short torso:1.2,1
neon cityscape:1.4,1
lighten the face:1.5,1
in this captivating image,1
we are immersed in a tranquil scene set at night under a full moon. a cat sits prominently on the left side of the frame,1
gazing intently towards the right with its head slightly tilted upwards. the feline's fur is rendered in shades of black and gray,1
contrasting sharply against the dark background. the background features a small,1
wooden japanese house nestled into a hillside. the house's thatched roof is visible,1
adding to the quaint charm of the scene. a set of stairs leading up to the entrance suggests an invitation for viewers to explore this cozy abode. the sky is a dark canvas,1
punctuated by the bright white glow of a full moon in the upper right corner. the moon's position and its radiant light create a sense of calm and serenity. the ground below the house is blanketed in snow,1
reflecting the soft light from the moon. in the bottom left corner,1
there's a solitary figure standing by the stairs to the house. this individual appears to be looking up at the night sky,1
perhaps lost in thought or admiring the celestial display. the color palette of the image is dominated by dark tones,1
with the exception of the moon and the interior lights of the house,1
which add a warm glow to the scene. the lighting creates dramatic shadows,1
enhancing the depth and complexity of the composition. in terms of action,1
the cat seems contemplative,1
while the solitary figure adds a dynamic element to the otherwise still scene. the overall atmosphere is one of peaceful solitude,1
with each element carefully placed to create a harmonious balance within the frame.,1
traditional media,1
squatting,1
crescent,1
fisheye,1
chimney,1
charachers,1
characters,1
narrow angle,1
stable diffusion,1
nai diffusion,1
unknown artist,1
banned artist,1
artist request,1
copyright symbol,1
resized,1
source larger,1
tagme,1
concept art,1
traditional media \artwork\,1
microsoft paint \artwork\,1
ms paint \medium\,1
icon,1
sequence,1
multiple images,1
panel skew,1
letterboxed,1
[doesnotexist],1
anatomically incorrect legs,1
nipple cover,1
condom,1
blacked penis,1
alien looks infection invented reptiles uncomfortable themselves atmosphere themselves resemblance slippery groteugliest disgusting creations remarkably break bad photo,1
normal resolution,1
uncentered,1
cut,1
trembling,1
motion lines,1
underexposure,1
poor exposure,1
smudges,1
patchy,1
high pass filter,1
zoomed,1
inconsistent,1
impossible geometry,1
unsteady lines,1
distorted lines,1
distorted shapes,1
interlocked objects,1
garbled objects,1
floating objects,1
airbrush,1
oil pastel,1
graphics,1
screenshot,1
octane,1
vray,1
vr,1
fake break pure pixelart retarded goldenglobes tumbling shoops nationalbestfriendphotoshopped emmett degradation compressed yao orientation alliances iteration portrait,1
low detail abnormal amount of fingers,1
visible crotch,1
decompression watermark:1.23d,1
comic:0.6,1
artist name long body,1
malformed eyes,1
heterochromia,1
signs,1
labels,1
neon signs,1
company logos; cartoon,1
d,1
clothing logos,1
clothing brands,1
highly detailed portrait of a stunningly beautiful woman,1
28 years old,1
standing in a torrential downpour under a violet and crimson aurora borealis,1
iceland,1
2:00 am,1
winter solstice. wide angle shot,1
45mm lens,1
8k resolution. the woman is positioned facing forward,1
slightly off center,1
commanding attention with an intense,1
almost melancholic gaze. her skin is porcelain white,1
subtly iridescent with a pearlescent sheen,1
marked with intricate,1
glowing violet tribal tattoos that snake across her arms and neck,1
pulsing with an ethereal light. her hair is a cascade of electric violet and deep indigo,1
styled in loose,1
windswept waves,1
some strands catching the aurora’s light,1
creating streaks of color. her eyes are a piercing,1
luminescent amethyst,1
reflecting the vibrant sky above,1
filled with a mix of defiance and vulnerability. she wears a sculpted,1
high tech bodysuit constructed from iridescent dark gray and black nanoweave,1
fitted with subtle glowing circuitry patterns. the bodysuit accentuates her athletic,1
toned physique. her hands are elegantly posed,1
one gently resting on her hip,1
the other holding a sleek,1
silver data slate. her feet are clad in black combat boots with glowing blue soles. subtle rain droplets cling to her skin and hair. the background is a dramatic icelandic landscape: jagged black basalt cliffs,1
frozen waterfalls illuminated by the aurora,1
and a snow covered volcanic plain stretching into the distance. the atmosphere is thick with mist and a palpable sense of isolation. dramatic volumetric lighting from the aurora borealis casts long,1
dancing shadows,1
creating a sense of depth and mystery. the color palette is dominated by cool shades of violet,1
and black,1
contrasted by the warm glow of the aurora. rain effect: extreme,1
heavy,1
creating a blurred background. facial expression: serious,1
contemplative,1
slightly defiant. posture: confident,1
commanding. lighting: volumetric,1
dramatic,1
rim lighting from the aurora. shadows: deep,1
long,1
and dynamic. camera angle: 85mm,1
eye level. detailed textures: wet skin,1
nanoweave fabric,1
basalt rock,1
ice. focus: sharp on the woman’s face and upper body. art style: hyperrealism,1
black choker,1
scar,1
scar on face,1
serious,1
injury,1
scar across eye,1
electricity,1
hair behind ear,1
arm tattoo,1
shoulder tattoo,1
scar on cheek,1
cuts,1
scratches,1
k/da \league of legends\,1
a lone figure,1
a woman of imposing stature and undeniable grace,1
strides through a rain slicked,1
desolate cityscape at twilight. shot from a low,1
wide angle perspective,1
emphasizing the vastness and melancholic beauty of the scene. the camera angle is almost at ground level,1
creating a sense of vulnerability and highlighting the woman's strength. **character description:** the woman is approximately 35 years of age,1
radiating an aura of controlled power and quiet determination. her skin is a rich,1
olive tone,1
bearing the subtle marks of a life lived outdoors – a few faint scars visible on her hands and forearms. her face is striking,1
framed by a cascade of raven black hair,1
intricately styled with a single,1
subtle braid woven with silver threads catching the dim light. her eyes are a piercing shade of glacial blue,1
reflecting both the storm clouds overhead and a deep,1
ancient wisdom. high cheekbones and a strong jawline contribute to an expression of resolute focus. she’s clad in intricately crafted,1
dark charcoal grey leather armor,1
subtly molded to her physique,1
hinting at both protection and agility. the armor is adorned with stylized silver geometric patterns. a dark grey,1
hooded cloak,1
partially obscuring her form,1
flows dramatically around her. her hands are clad in dark leather gloves,1
revealing calloused palms,1
indicative of years of training. her legs are clad in sturdy,1
dark grey trousers tucked into high,1
worn leather boots. her stance is confident and balanced,1
one hand resting casually on the hilt of a katana strapped to her back. a silver pendant,1
shaped like a stylized raven,1
